";Orders (numPair";start;lifetime;capacity)
88;1;1725;1
84;1;1579;1
45;1;1244;1
76;1;2725;1
5;1;2074;1
43;1;2207;1
12;1;1906;1
22;1;2083;1
51;1;2014;1
23;1;2237;1
60;1;2047;1
2;1;1867;1
69;1;2250;1
79;1;1975;1
26;1;1898;1
35;1;2336;1
24;1;1951;1
69;1;1782;1
16;1;2236;1
20;1;2164;1
22;1;2849;1
68;1;3914;1
17;1;1604;1
22;1;1820;1
28;1;2153;1
12;1;2322;1
60;1;2441;1
71;1;1794;1
97;1;2168;1
89;1;2049;1
22;1;2113;1
43;1;2268;1
94;1;2012;1
95;1;1846;1
66;1;1110;1
9;1;649;1
20;1;2199;1
29;1;1677;1
54;1;2789;1
90;1;1119;1
32;1;1906;1
36;1;2558;1
51;1;3099;1
90;1;1840;1
34;1;1530;1
59;1;2181;1
39;1;1984;1
61;1;3173;1
87;1;1884;1
96;1;2060;1
71;1;1782;1
25;1;2084;1
30;1;2187;1
21;1;2245;1
95;1;2090;1
45;1;2236;1
10;1;1447;1
82;1;2452;1
59;1;2006;1
96;1;2770;1
9;1;2009;1
35;1;2544;1
3;1;2211;1
20;1;2123;1
30;1;2104;1
60;1;873;1
59;1;2266;1
78;1;2556;1
40;1;2291;1
19;1;921;1
57;1;2339;1
79;1;2144;1
22;1;1670;1
54;1;2439;1
31;1;1288;1
53;1;1949;1
59;1;1628;1
9;1;2319;1
75;1;2182;1
41;1;1474;1
60;1;1883;1
71;1;1604;1
96;1;2176;1
48;1;1056;1
36;1;1762;1
80;1;1750;1
25;1;2697;1
3;1;2359;1
82;1;2911;1
92;1;1286;1
87;1;2097;1
85;1;2007;1
35;1;1846;1
20;1;2682;1
61;1;2133;1
80;1;2003;1
22;1;1797;1
37;1;1852;1
32;1;2522;1
63;1;2572;1
4;1;1360;1
39;1;2309;1
15;1;1253;1
10;1;1415;1
19;1;1331;1
35;1;3006;1
75;1;2942;1
74;1;2528;1
86;1;2030;1
31;1;1553;1
52;1;2006;1
93;1;1774;1
28;1;2701;1
70;1;1267;1
4;1;1971;1
15;1;1914;1
60;1;2792;1
38;1;2230;1
34;1;2315;1
68;1;1665;1
24;1;2655;1
88;1;2244;1
53;1;1051;1
54;1;2953;1
49;1;1926;1
14;1;1441;1
45;1;2005;1
29;1;2003;1
59;1;2567;1
80;1;2591;1
29;1;2677;1
9;1;1991;1
78;1;1890;1
41;1;1600;1
97;1;2410;1
24;1;2488;1
34;1;2087;1
65;1;2417;1
71;1;1978;1
88;1;2118;1
18;1;1945;1
4;1;3277;1
20;1;1697;1
19;1;2158;1
75;1;1754;1
70;1;1908;1
92;1;2191;1
87;1;1781;1
84;1;2853;1
54;1;1394;1
41;1;2490;1
31;1;1695;1
37;1;1638;1
98;1;2901;1
20;1;2301;1
16;1;1977;1
6;1;1505;1
19;1;2494;1
52;1;2244;1
35;1;2031;1
40;1;2679;1
73;1;2008;1
6;1;3228;1
98;1;1756;1
76;1;1481;1
14;1;2135;1
22;1;1853;1
46;1;2424;1
85;1;2229;1
19;1;2133;1
78;1;1542;1
81;1;1815;1
12;1;1772;1
29;1;2701;1
8;1;2544;1
28;1;1803;1
19;1;1685;1
19;1;2555;1
88;1;1867;1
14;1;1929;1
8;1;1264;1
92;1;1577;1
64;1;1382;1
22;1;2823;1
89;1;2468;1
99;1;1806;1
26;1;1322;1
70;1;2486;1
42;1;1380;1
22;1;2043;1
80;1;2288;1
33;1;2877;1
40;1;2159;1
77;1;2359;1
42;1;2524;1
26;1;2887;1
36;1;1608;1
48;1;2180;1
27;1;1745;1
75;1;2040;1
43;1;1811;1
63;1;1614;1
54;1;2158;1
59;1;1390;1
21;1;2340;1
31;1;1989;1
52;1;1171;1
3;1;1984;1
71;1;2511;1
84;1;1241;1
17;1;1891;1
35;1;1668;1
12;1;2144;1
5;1;1835;1
15;1;2326;1
69;1;1949;1
100;1;1122;1
90;1;1983;1
96;1;2432;1
67;1;1401;1
58;1;1803;1
20;1;2348;1
83;1;2186;1
78;1;2847;1
87;1;1162;1
33;1;1825;1
36;1;2726;1
13;1;1691;1
76;1;2401;1
19;1;1626;1
17;1;2817;1
38;1;1712;1
13;1;932;1
9;1;1887;1
86;1;1977;1
7;1;1633;1
65;1;2069;1
95;1;2086;1
68;1;2903;1
21;1;1526;1
73;1;3412;1
77;1;1201;1
34;1;896;1
31;1;1781;1
10;1;1884;1
84;1;1424;1
63;1;2652;1
68;1;1475;1
53;1;2000;1
99;1;1860;1
32;1;2121;1
97;1;1757;1
72;1;1535;1
55;1;1782;1
100;1;1834;1
65;1;2161;1
94;1;2280;1
8;1;2079;1
10;1;2019;1
1;1;2677;1
93;1;2279;1
31;1;1923;1
38;1;960;1
16;1;2410;1
86;1;1485;1
82;1;1241;1
11;1;2299;1
16;1;2038;1
14;1;1995;1
52;1;2659;1
14;1;2686;1
46;1;1956;1
74;1;2803;1
40;1;2057;1
45;1;2211;1
66;1;2445;1
91;1;1915;1
51;1;2140;1
70;1;1589;1
51;1;2332;1
31;1;826;1
99;1;2407;1
64;1;2091;1
37;1;1904;1
38;1;1538;1
32;1;1431;1
63;1;1737;1
12;1;2426;1
4;1;1851;1
27;1;1870;1
7;1;2111;1
21;1;1135;1
47;1;2574;1
82;1;1957;1
10;1;947;1
96;1;2174;1
51;1;1704;1
10;1;1132;1
83;1;1310;1
73;1;1869;1
35;1;1573;1
17;1;1175;1
83;1;1953;1
81;1;2162;1
32;1;2325;1
69;1;1452;1
93;1;1737;1
82;1;871;1
66;1;1907;1
80;1;2172;1
66;1;1582;1
16;1;2122;1
81;1;1703;1
58;1;1654;1
53;1;2568;1
38;1;2379;1
66;1;2813;1
8;1;2264;1
70;1;1685;1
38;1;1861;1
67;1;2299;1
29;1;1784;1
17;1;2080;1
92;1;1960;1
31;1;1699;1
12;1;2696;1
63;1;872;1
28;1;2072;1
65;1;2208;1
77;1;2482;1
49;1;1842;1
31;1;2348;1
37;1;2033;1
73;1;1376;1
3;1;3411;1
10;1;2250;1
19;1;1741;1
6;1;2423;1
33;1;1844;1
26;1;2343;1
38;1;2521;1
45;1;2232;1
13;1;2093;1
27;1;2498;1
28;1;2011;1
7;1;2204;1
87;1;2269;1
58;1;2931;1
39;1;1916;1
35;1;2817;1
26;1;1028;1
34;1;2358;1
12;1;1709;1
52;1;1662;1
48;1;1037;1
78;1;1616;1
77;1;1629;1
